,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,val_number, consent_value ,description
5836,Wellington,Masterton,15-Mar-17,170070,"14 Wrigley Street, Masterton  ","14 Wrigley Street, Masterton",,,,," $4,500.00 ",install freestanding metro r2 woodburner with new flue kit
5838,Wellington,Masterton,15-Mar-17,170068,"9 Milford Downs, Masterton  ","9 Milford Downs, Masterton",,,,," $4,500.00 ",install freestanding yunca monte base woodburner
5843,Wellington,Masterton,16-Mar-17,170067,"21 Elizabeth Street, Masterton  ","21 Elizabeth Street, Masterton",,,,," $4,000.00 ",install freestanding metro eco wee rad woodburner
5845,Wellington,Masterton,17-Mar-17,170064,"98 Cockburn Street, Masterton  ","98 Cockburn Street, Masterton",,,,," $18,000.00 ","construct new versatile garage, new masport r1500 woodburner"
5851,Wellington,Masterton,17-Mar-17,170093,"129 Manuka Street, Masterton  ","129 Manuka Street, Masterton",,,,," $4,000.00 ",install firenzo contessa wood burner
5853,Wellington,Masterton,21-Mar-17,170053,"17 Stoneleigh Drive, Masterton 5810  ","17 Stoneleigh Drive, Masterton 5810",,,,," $410,000.00 ",new 4 bedroom dwelling with metro extreme rad woodburner
5872,Wellington,Masterton,30-Mar-17,170140,"Kaka Amu Road RD 11, Masterton  ","Kaka Amu Road RD 11, Masterton",,,,," $4,500.00 ",install a metro trend ltd wood burner
5882,Wellington,Masterton,03-Apr-17,170102,"41 Cole Street, Masterton  ","41 Cole Street, Masterton",,,,," $4,000.00 ",install kent oxford freestanding wood burner
5888,Wellington,Masterton,04-Apr-17,170121,"7 Keaton Street, Masterton  ","7 Keaton Street, Masterton",,,,," $4,500.00 ",install a masport bannockburn inbuilt wood burner
5891,Wellington,Masterton,05-Apr-17,170135,"11 Guthrie Crescent Castlepoint, Mastert  ","11 Guthrie Crescent Castlepoint, Mastert",,,,," $4,500.00 ",replace existing wood burner with a metro wee rad.
5892,Wellington,Masterton,05-Apr-17,170122,"21 Coddington Crescent, Masterton  ","21 Coddington Crescent, Masterton",,,,," $4,500.00 ",install a metro smart insert woodburner
5893,Wellington,Masterton,05-Apr-17,170138,"5 Fourth Street, Masterton  ","5 Fourth Street, Masterton",,,,," $4,500.00 ",install a firenzo forte ag inbuilt wood burner
5895,Wellington,Masterton,05-Apr-17,170127,"5 Sussex Street, Masterton  ","5 Sussex Street, Masterton",,,,," $2,500.00 ",install a woodsman totara insert wood burner
5897,Wellington,Masterton,06-Apr-17,170163,"154 Masterton Castlepoint Road, Masterto  ","154 Masterton Castlepoint Road, Masterto",,,,," $3,500.00 ",install a woodsman brunner 2 wood fire
5907,Wellington,Masterton,13-Apr-17,170162,"34 Akura Road, Masterton  ","34 Akura Road, Masterton",,,,," $6,500.00 ",install a new firenzo viking ru wood fire
5908,Wellington,Masterton,13-Apr-17,170153,"1 Puriri Crescent, Masterton  ","1 Puriri Crescent, Masterton",,,,," $3,000.00 ",kiwi rad wood burner
5915,Wellington,Masterton,20-Apr-17,170170,"18 Colville Street, Masterton  ","18 Colville Street, Masterton",,,,," $4,500.00 ",install a metro wee rad wood burner
5916,Wellington,Masterton,20-Apr-17,170172,"22 Ballance Street, Masterton  ","22 Ballance Street, Masterton",,,,," $3,500.00 ",install a woodsman totara insert wood fire
5920,Wellington,Masterton,21-Apr-17,170171,"38 Millard Avenue, Masterton  ","38 Millard Avenue, Masterton",,,,," $4,500.00 ",install a new metro classic rad wood burner (replacement)
5921,Wellington,Masterton,21-Apr-17,170169,"111 Cole Street, Masterton  ","111 Cole Street, Masterton",,,,," $4,500.00 ",install a firenzo kompact plaza inbuilt woodburner into
5932,Wellington,Masterton,01-May-17,170181,"119A South Belt, Masterton  ","119A South Belt, Masterton",,,,," $4,500.00 ",install a woodfire
5933,Wellington,Masterton,01-May-17,170191,"468 Te Whiti Road RD 4, Masterton  ","468 Te Whiti Road RD 4, Masterton",,,,," $4,500.00 ",install a woodfire
5934,Wellington,Masterton,01-May-17,170180,"29 Ballance Street, Masterton  ","29 Ballance Street, Masterton",,,,," $4,500.00 ",install a woodfire
5935,Wellington,Masterton,01-May-17,170179,"62 Cole Street, Masterton  ","62 Cole Street, Masterton",,,,," $4,500.00 ",install a woodfire
5936,Wellington,Masterton,01-May-17,170189,"10 Burnetts Road RD 8, Masterton  ","10 Burnetts Road RD 8, Masterton",,,,," $4,500.00 ",install a woodfire
5937,Wellington,Masterton,01-May-17,170188,"18 Jeans Street, Masterton  ","18 Jeans Street, Masterton",,,,," $4,500.00 ",install a woodfire
5938,Wellington,Masterton,01-May-17,170190,"8 Raglan Street, Masterton  ","8 Raglan Street, Masterton",,,,," $4,500.00 ",install a woodfire
5939,Wellington,Masterton,01-May-17,170175,"107 Pownall Street, Masterton  ","107 Pownall Street, Masterton",,,,," $4,000.00 ",install a woodfire
5940,Wellington,Masterton,01-May-17,170185,"41 Rugby Street, Masterton  ","41 Rugby Street, Masterton",,,,," $3,600.00 ",install a woodfire
5941,Wellington,Masterton,01-May-17,170193,"2087 State Highway 2, Masterton  ","2087 State Highway 2, Masterton",,,,," $2,600.00 ",install a woodfire
5948,Wellington,Masterton,03-May-17,170198,"1464 Masterton Stronvar Road, Masterton  ","1464 Masterton Stronvar Road, Masterton",,,,," $4,500.00 ",install a woodfire
5949,Wellington,Masterton,03-May-17,170197,"17 Bannister Court, Masterton  ","17 Bannister Court, Masterton",,,,," $4,500.00 ",install a woodfire
5950,Wellington,Masterton,03-May-17,170194,"5 Kowhai Place, Masterton  ","5 Kowhai Place, Masterton",,,,," $3,000.00 ",install a woodfire
5954,Wellington,Masterton,05-May-17,170211,"19 Mary Street, Masterton  ","19 Mary Street, Masterton",,,,," $5,000.00 ",install a woodfire
5955,Wellington,Masterton,05-May-17,170209,"1 Cooper Street, Masterton  ","1 Cooper Street, Masterton",,,,," $4,500.00 ",install a woodfire
5956,Wellington,Masterton,05-May-17,170208,"39 Holdsworth Road, Masterton  ","39 Holdsworth Road, Masterton",,,,," $4,500.00 ",install a woodfire
5957,Wellington,Masterton,05-May-17,170223,"12 Fraser Street, Masterton  ","12 Fraser Street, Masterton",,,,," $4,000.00 ",install a woodfire
5958,Wellington,Masterton,05-May-17,170207,"17 Hinau Place, Masterton  ","17 Hinau Place, Masterton",,,,," $3,600.00 ",install a woodfire
5959,Wellington,Masterton,05-May-17,170206,"105 Hillcrest Street, Masterton  ","105 Hillcrest Street, Masterton",,,,," $3,000.00 ",install a woodfire
5962,Wellington,Masterton,08-May-17,170196,"217 Willow Park Drive RD 11, Masterton  ","217 Willow Park Drive RD 11, Masterton",,,,," $4,500.00 ",install a woodfire
5965,Wellington,Masterton,09-May-17,170215,"9 Mckenna Street, Masterton  ","9 Mckenna Street, Masterton",,,,," $4,500.00 ",install a woodfire
5966,Wellington,Masterton,09-May-17,170216,"133A Dixon Street, Masterton  ","133A Dixon Street, Masterton",,,,," $4,500.00 ",install a woodfire
5967,Wellington,Masterton,09-May-17,170217,"5 York Street, Masterton  ","5 York Street, Masterton",,,,," $4,500.00 ",install a woodfire
5968,Wellington,Masterton,09-May-17,170222,"10 Miro Street, Masterton  ","10 Miro Street, Masterton",,,,," $4,500.00 ",install a woodfire
5969,Wellington,Masterton,09-May-17,170220,"32B Kahikatea Road RD 6, Masterton  ","32B Kahikatea Road RD 6, Masterton",,,,," $3,000.00 ",install a woodfire
5976,Wellington,Masterton,11-May-17,170235,"645 Matahiwi Rd, RD 8, Masterton  ","645 Matahiwi Rd, RD 8, Masterton",,,,," $5,200.00 ",install a woodfire
5977,Wellington,Masterton,11-May-17,170218,"50 Mclaughlin Drive RD 9, Masterton  ","50 Mclaughlin Drive RD 9, Masterton",,,,," $4,500.00 ",install a woodfire
5978,Wellington,Masterton,11-May-17,170248,"41C Cole Street, Masterton  ","41C Cole Street, Masterton",,,,," $4,500.00 ",install a woodfire
5979,Wellington,Masterton,11-May-17,170225,"100 Larchbank Road Tinui, Masterton  ","100 Larchbank Road Tinui, Masterton",,,,," $4,000.00 ",install a woodfire
5980,Wellington,Masterton,11-May-17,170237,"3/27 Third Street, Masterton  ","3/27 Third Street, Masterton",,,,," $4,000.00 ",install a woodfire
5988,Wellington,Masterton,17-May-17,170236,"98 Colombo Road, Masterton  ","98 Colombo Road, Masterton",,,,," $3,000.00 ",install a woodfire
5996,Wellington,Masterton,18-May-17,170231,"5 Churchill Avenue, Masterton  ","5 Churchill Avenue, Masterton",,,,," $4,500.00 ",install a woodfire
5997,Wellington,Masterton,18-May-17,170239,"3A Miro Street, Masterton  ","3A Miro Street, Masterton",,,,," $4,500.00 ",install a woodfire
5998,Wellington,Masterton,18-May-17,170219,"120 South Road, Masterton  ","120 South Road, Masterton",,,,," $4,500.00 ",install a woodfire
5999,Wellington,Masterton,18-May-17,170234,"25 Wrigley Street, Masterton  ","25 Wrigley Street, Masterton",,,,," $3,000.00 ",install a woodfire
6000,Wellington,Masterton,18-May-17,170238,"20 Renall Street, Masterton  ","20 Renall Street, Masterton",,,,," $3,000.00 ",install a woodfire
6004,Wellington,Masterton,19-May-17,170251,"272 Upper Plain Road, Masterton  ","272 Upper Plain Road, Masterton",,,,," $5,280.00 ",install a woodfire
6005,Wellington,Masterton,19-May-17,170250,"129 Upper Plain Road, Masterton  ","129 Upper Plain Road, Masterton",,,,," $4,500.00 ",install a woodfire
6006,Wellington,Masterton,19-May-17,170243,"18 Grant Crescent, Masterton  ","18 Grant Crescent, Masterton",,,,," $3,000.00 ",install a woodfire
6007,Wellington,Masterton,19-May-17,150306A,"53 Oak Street, Masterton  ","53 Oak Street, Masterton",,,,," $2,600.00 ",amendment to bc150306 - install fisher woodburner
6008,Wellington,Masterton,19-May-17,170244,"47 Welch Road RD 11, Masterton  ","47 Welch Road RD 11, Masterton",,,,," $1,450.00 ",firenzo contessa wood burner installation with existing
6014,Wellington,Masterton,25-May-17,170233,"83 Upper Plain Road, Masterton  ","83 Upper Plain Road, Masterton",,,,," $6,000.00 ",install a woodfire
6015,Wellington,Masterton,25-May-17,170232,"19 Puriri Crescent, Masterton  ","19 Puriri Crescent, Masterton",,,,," $4,500.00 ",install a woodfire
6016,Wellington,Masterton,26-May-17,170252,"23 Oxford Street, Masterton  ","23 Oxford Street, Masterton",,,,," $6,000.00 ",install a woodfire
6021,Wellington,Masterton,29-May-17,170255,"3A Kauri Grove, Masterton  ","3A Kauri Grove, Masterton",,,,," $4,000.00 ",install a woodfire
6025,Wellington,Masterton,30-May-17,170269,"144 Loop Line RD 1, Masterton  ","144 Loop Line RD 1, Masterton",,,,," $5,500.00 ",install a woodfire
6026,Wellington,Masterton,30-May-17,170268,"49 Ballance Street, Masterton  ","49 Ballance Street, Masterton",,,,," $4,990.00 ",install a woodfire
6027,Wellington,Masterton,30-May-17,170267,"52 Manuka Street, Masterton  ","52 Manuka Street, Masterton",,,,," $4,500.00 ",install a woodfire
6028,Wellington,Masterton,30-May-17,170259,"4 Colville Street, Masterton  ","4 Colville Street, Masterton",,,,," $3,500.00 ",install a woodfire
6029,Wellington,Masterton,30-May-17,170266,"155 Renall Street, Masterton  ","155 Renall Street, Masterton",,,,," $3,500.00 ",install a woodfire
6032,Wellington,Masterton,31-May-17,170264,"80 Opaki Kaiparoro Road RD 2, Masterton  ","80 Opaki Kaiparoro Road RD 2, Masterton",,,,," $4,200.00 ",install a woodfire
6039,Wellington,Masterton,02-Jun-17,170276,"170 Matahiwi RD 8, Masterton  ","170 Matahiwi RD 8, Masterton",,,,," $4,500.00 ",install a freestanding metro extreme rad wood burner
6040,Wellington,Masterton,02-Jun-17,170277,"13 River Road, Masterton  ","13 River Road, Masterton",,,,," $4,500.00 ",install a metro smart insert wood burner
6044,Wellington,Masterton,06-Jun-17,170283,"294 Manaia Road RD 5, Masterton  ","294 Manaia Road RD 5, Masterton",,,,," $5,000.00 ","replacement - install new firenzo contessa ag10 woodburner,"
6045,Wellington,Masterton,06-Jun-17,170279,"187 Te Ore Ore Bideford Road, Masterton  ","187 Te Ore Ore Bideford Road, Masterton",,,,," $3,900.00 ",install freestanding metro wee rad wood burner
6049,Wellington,Masterton,08-Jun-17,170287,"41 Miro Street, Masterton  ","41 Miro Street, Masterton",,,,," $2,000.00 ",install a free standing metro tiny ped wood burner
6053,Wellington,Masterton,09-Jun-17,170280,"1 Miriam Street, Masterton  ","1 Miriam Street, Masterton",,,,," $4,500.00 ",install freestanding metro r1 woodburner onto existing
6059,Wellington,Masterton,13-Jun-17,170290,"117 Colombo Road, Masterton  ","117 Colombo Road, Masterton",,,,," $4,000.00 ",install woodsman novo woodburner with heat saver flue
6060,Wellington,Masterton,13-Jun-17,170291,"8 Tamarisk Drive, Masterton  ","8 Tamarisk Drive, Masterton",,,,," $3,000.00 ",install a masport 15000 inbuilt wood burner
6063,Wellington,Masterton,14-Jun-17,170288,"38 Lennie Road RD 11, Masterton  ","38 Lennie Road RD 11, Masterton",,,,," $4,000.00 ",install freestanding woodsman brunner mk11 woodburner
6068,Wellington,Masterton,16-Jun-17,170299,"123 Makora Road, Masterton  ","123 Makora Road, Masterton",,,,," $4,500.00 ",install a freestanding metro wee rad woodburner onto new
6069,Wellington,Masterton,16-Jun-17,170298,"15 Kiwi Street, Masterton  ","15 Kiwi Street, Masterton",,,,," $4,500.00 ",install a metro smart inbuilt woodburner into masonary
6076,Wellington,Masterton,22-Jun-17,170315,"598 Upper Plain Road, Masterton  ","598 Upper Plain Road, Masterton",,,,," $4,200.00 ",install metro insert logfire
6081,Wellington,Masterton,26-Jun-17,170316,"8 Mace Street, RD 9 Masterton  ","8 Mace Street, RD 9 Masterton",,,,," $6,000.00 ",install firenzo lady kitchener urban woodburner and
6082,Wellington,Masterton,26-Jun-17,170307,"31 Vivian Street, Masterton  ","31 Vivian Street, Masterton",,,,," $5,000.00 ",install a new metro mega rad free-standing woodburner
6083,Wellington,Masterton,26-Jun-17,170305,"16 Jeans Street, Masterton  ","16 Jeans Street, Masterton",,,,," $4,500.00 ",install a metro trend inbuilt woodburner
6093,Wellington,Masterton,28-Jun-17,170325,"27 Blackhill Road Tinui, Masterton  ","27 Blackhill Road Tinui, Masterton",,,,," $3,000.00 ",install masport bannock i2000 insert woodfire
6094,Wellington,Masterton,28-Jun-17,170324,"90 Chamberlain Road, Masterton  ","90 Chamberlain Road, Masterton",,,,," $1,000.00 ",replace woodburner with metro tiny ped woodburner
6121,Wellington,Porirua,24-Jan-17,BCA0639/16,"6 Tutoko Place Aotea, Porirua City   5024  ","6 Tutoko Place Aotea, Porirua City   5024",,,,," $390,000.00 ","single level dwelling incorporating 4 bedrooms, ensuite, bathroom,
media room, kitchen/dining/living, pantry, double garage/laundry,
inbuilt woodburner."
6138,Wellington,Porirua,07-Feb-17,BCA0667/16,"27 Motukaraka Point Pauatahanui, Porirua City   5381  ","27 Motukaraka Point Pauatahanui, Porirua City   5381",,,,," $350,000.00 ","additions and alterations incorporating minor demolition, bedroom 4 addition, family room addition for new wood-burner and wood-box,  living room alterations, new entrance porch structure and shed addition to garage,"
6163,Wellington,Porirua,23-Feb-17,BCA0031/17,"33 Margaret Shields Avenue Aotea, Porirua City   5024  ","33 Margaret Shields Avenue Aotea, Porirua City   5024",,,,," $423,998.00 ","single level dwelling incorporating 4 bedrooms, ensuite, wc, bathroom, family/dining/kitchen, lounge, double garage/laundry. free-standing woodburner. timber retaining walls."
6188,Wellington,Porirua,10-Mar-17,BCA0080/17,"63 B Awatea Street Ranui, Porirua City   5024  ","63 B Awatea Street Ranui, Porirua City   5024",,,,," $5,000.00 ",housing detached dwelling: heating unit: installation of new free standing wood burner (model ss300 fs 2006)
6189,Wellington,Porirua,10-Mar-17,BCA0088/17,"43 Cluny Road Plimmerton, Porirua City   5026  ","43 Cluny Road Plimmerton, Porirua City   5026",,,,," $5,000.00 ",housing detached dwelling: heating unit: new free standing woodburner (jayline fr300)
6199,Wellington,Porirua,21-Mar-17,BCA0085/17,"30 Lagden Street Camborne, Porirua City   5026  ","30 Lagden Street Camborne, Porirua City   5026",,,,," $120,000.00 ","new garage/laundry with adjoining study and bathroom. new conservatory and deck off dining/living.
extension to living room. woodburner to living room."
6207,Wellington,Porirua,27-Mar-17,BCA0114/17,"29 Clipper Street Titahi Bay, Porirua City   5022  ","29 Clipper Street Titahi Bay, Porirua City   5022",,,,," $5,000.00 ",housing detached dwelling: heating unit: installation of new freestanding wood fire. model: masport r1500
6222,Wellington,Porirua,05-Apr-17,BCA0128/17,"4 Trevor Terrace Paremata, Porirua City   5024  ","4 Trevor Terrace Paremata, Porirua City   5024",,,,," $5,000.00 ",installation of new inbuilt woodburner model: firenzo kompact dira into existing masonry chimney
6223,Wellington,Porirua,05-Apr-17,BCA0131/17,"3 Sea Vista Drive Pukerua Bay, Porirua City   5026  ","3 Sea Vista Drive Pukerua Bay, Porirua City   5026",,,,," $4,000.00 ",replacement of existing woodburner with new model: kent kiwi rad 11
6229,Wellington,Porirua,06-Apr-17,BCA0136/17,"22 Ernest Street Ranui, Porirua City   5024  ","22 Ernest Street Ranui, Porirua City   5024",,,,," $3,400.00 ",installation of new inbuilt model: masport banockburn woodfire into existing masonry chimney
6235,Wellington,Porirua,10-Apr-17,BCA0146/17,"40 B Halladale Road Papakowhai, Porirua City   5024  ","40 B Halladale Road Papakowhai, Porirua City   5024",,,,," $4,500.00 ",installation of a new freestanding woodburner model: masport akaroa on a tiled hearth.
6243,Wellington,Porirua,18-Apr-17,BCA0153/17,"3 Gray Street Pukerua Bay, Porirua City   5026  ","3 Gray Street Pukerua Bay, Porirua City   5026",,,,," $6,538.00 ",heating systems:  housing detached dwelling - replacement of old woodburner freestanding
6250,Wellington,Porirua,21-Apr-17,BCA0178/17,"20 Discovery Drive Whitby, Porirua City   5024  ","20 Discovery Drive Whitby, Porirua City   5024",,,,," $2,000.00 ",installation of new wood burner into lounge
6254,Wellington,Porirua,26-Apr-17,BCA0163/17,"226 Airlie Road Plimmerton, Porirua City   5026  ","226 Airlie Road Plimmerton, Porirua City   5026",,,,," $5,000.00 ",installation of new freestanding woodburner model: masport r5000ws
6255,Wellington,Porirua,26-Apr-17,BCA0160/17,"360 Warspite Avenue Waitangirua, Porirua City   5024  ","360 Warspite Avenue Waitangirua, Porirua City   5024",,,,," $5,000.00 ",installation of new frestanding woodburner model: masport r1500 legacy
6256,Wellington,Porirua,26-Apr-17,BCA0177/17,"20 Bowline Place Whitby, Porirua City   5024  ","20 Bowline Place Whitby, Porirua City   5024",,,,," $4,000.00 ",installation of new masport r5000 pedestal freestanding woodburner on a tiled hearth
6260,Wellington,Porirua,27-Apr-17,BCA0190/17,"32 Oak Avenue Paremata, Porirua City   5024  ","32 Oak Avenue Paremata, Porirua City   5024",,,,," $4,500.00 ",installation of new woodburner model: masport r1500 to replace existing
