,region,council,date_issued,council_ref,location_street,location_suburb,location_area,location_all, Location_Postcode ,legal_description,val_number,consent_value,description
8448,Canterbury,Christchurch,16-Mar-20,CBCN/2020/362,25 Pawsons Valley Road,Duvauchelle,Christchurch,25 Pawsons Valley Road Duvauchelle Christchurch,  ,Lot 6 DP 514111,,150000,"construction of dwelling and installation of a jayline fr400, freestanding, dry, woodburner - cac 173529"
8458,Canterbury,Christchurch,16-Mar-20,CBCN/2020/319,9 Woodills Road,Akaroa,Christchurch,9 Woodills Road Akaroa Christchurch,  ,Lot 4 DP 304685,,600000,"construction of dwelling with attached garage - installation of masport wanaka, freestanding, dry, woodburner, cac163163"
8468,Canterbury,Christchurch,17-Mar-20,CBCN/2020/1364,393 Pages Road,Wainoni,Christchurch,393 Pages Road Wainoni Christchurch,  ,Lot 1 DP 14483,,5000,"alteration to dwelling - installation of a masport rakaia, freestanding, dry, wood burner cac  200855"
8469,Canterbury,Christchurch,17-Mar-20,CBCN/2020/770,53 Burke Street,Addington,Christchurch,53 Burke Street Addington Christchurch,  ,Lot 83 DP 2384,,5000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8470,Canterbury,Christchurch,17-Mar-20,CBCN/2020/1371,7A Whaka Terrace,Huntsbury,Christchurch,7A Whaka Terrace Huntsbury Christchurch,  ,"Lot 13 DP 45150, Sec 1 SO 344125",,5300,"alteration to dwelling - installation of a metro wee rad ultra, freestanding, dry, wood burner - cac191262"
8471,Canterbury,Christchurch,17-Mar-20,CBCN/2020/1366,52 Karnak Crescent,Russley,Christchurch,52 Karnak Crescent Russley Christchurch,  ,Lot 38 DP 38067,,5500,"alteration to dwelling - installation of woodsman serene, freestanding, dry, wood burner, cac194586"
8472,Canterbury,Christchurch,17-Mar-20,CBCN/2020/1394,6 Waimokihi Place,Spreydon,Christchurch,6 Waimokihi Place Spreydon Christchurch,  ,Lot 16 DP 34105,,6000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8473,Canterbury,Christchurch,17-Mar-20,CBCN/2020/1367,2/20 Nepal Place,Burnside,Christchurch,2/20 Nepal Place Burnside Christchurch,  ,Flat 2 DP 52440 on Lot 14 DP 48826 having share in 1105 m2,,6000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8474,Canterbury,Christchurch,17-Mar-20,CBCN/2020/1405,106 Regency Crescent,Redwood,Christchurch,106 Regency Crescent Redwood Christchurch,  ,Lot 48 DP 45078,,6000,"alteration to dwelling - installation of woodsman serene uleb, freestanding, dry, woodburner, cac-194586"
8475,Canterbury,Christchurch,17-Mar-20,CBCN/2020/1369,2/24C Bowenvale Avenue,Cashmere,Christchurch,2/24C Bowenvale Avenue Cashmere Christchurch,  ,Flat 1 DP 77284 on Lot 2 DP 23317 having share in 1874 m2,,10000,"alteration to dwelling - installation of woodsman serene freestanding, dry, woodburner cac194586 and masport rakaia, freestanding, dry, woodburner, cac200855"
8498,Canterbury,Christchurch,18-Mar-20,CBCN/2020/1402,239 Grahams Road,Bishopdale,Christchurch,239 Grahams Road Bishopdale Christchurch,  ,Lot 215 DP 22117,,5000,"alteration to dwelling - installation of masport waimakariri ash, freestanding, wood burner, dry, cac203573"
8499,Canterbury,Christchurch,18-Mar-20,CBCN/2020/1378,20 Hampshire Street,Wainoni,Christchurch,20 Hampshire Street Wainoni Christchurch,  ,Lot 1 DP 388803,,5000,"alteration to dwelling -  installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8504,Canterbury,Christchurch,18-Mar-20,CBCN/2020/541,197 Taylors Mistake Road,Scarborough,Christchurch,197 Taylors Mistake Road Scarborough Christchurch,  ,Lot 21 DP 6419,,150000,"additions and alterations to dwelling - change to layout, addition of bedroom, ensuite and bathroom. new window and joinery - installation of woodsman, serene, freestanding, dry, woodburner,  cac194586"
8508,Canterbury,Christchurch,18-Mar-20,CBCN/2019/8650,81 Cobham Street,Spreydon,Christchurch,81 Cobham Street Spreydon Christchurch,  ,Lot 6 DP 8887,,340000,"construction of dwelling and installation of a jayline ul200, freestanding, dry, woodburner - cac 183251"
8522,Canterbury,Christchurch,20-Mar-20,CBCN/2020/1586,14 Dalefield Drive,Cashmere,Christchurch,14 Dalefield Drive Cashmere Christchurch,  ,Lot 5 DP 62185,,4500,"alteration to dwelling- installation of a pyroclassic iv, freestanding dry, wood burner cac 194576"
8523,Canterbury,Christchurch,20-Mar-20,CBCN/2020/1413,319 Halswell Junction Road,Halswell,Christchurch,319 Halswell Junction Road Halswell Christchurch,  ,Lot 774 DP 492237,,6000,"alteration to dwelling - installation of woodsman serene, freestanding, woodburner, dry, cac194586"
8524,Canterbury,Christchurch,20-Mar-20,CBCN/2020/1412,2 Sunvale Terrace,Cashmere,Christchurch,2 Sunvale Terrace Cashmere Christchurch,  ,Lot 19 DP 27062,,6000,"alterations to dwelling - installation of a metro wee rad ultra, freestanding, dry, woodburner - cac 191262"
8534,Canterbury,Christchurch,23-Mar-20,CBCN/2020/1622,106 Rose Street,Spreydon,Christchurch,106 Rose Street Spreydon Christchurch,  ,Lot 1 DP 8021,,4500,"alteration to dwelling - installation of pyroclassic mini, freestanding, dry, woodburner, cac193584"
8535,Canterbury,Christchurch,23-Mar-20,CBCN/2020/1662,2 Kaikomako Place,Lyttelton,Christchurch,2 Kaikomako Place Lyttelton Christchurch,  ,Lot 2 DP 61547,,4500,"alteration to dwelling - installation of a masport r1200p, freestanding dry woodburner, cac191120"
8536,Canterbury,Christchurch,23-Mar-20,CBCN/2020/1636,31 Hendon Street,St Albans,Christchurch,31 Hendon Street St Albans Christchurch,  ,Lot 2 DP 75309,,4500,"alteration to dwelling - installation of a blaze king  sirocco sc20l, freestanding dry woodburner, cac185214"
8537,Canterbury,Christchurch,23-Mar-20,CBCN/2020/1470,5 Checketts Avenue,Oaklands,Christchurch,5 Checketts Avenue Oaklands Christchurch,  ,Lot 187 DP 18621,,5000,"alteration to dwelling - installation of masport rakaia, freestanding, dry, woodburner cac200855"
8538,Canterbury,Christchurch,23-Mar-20,CBCN/2020/1411,102 Bridge Street,South New Brighton,Christchurch,102 Bridge Street South New Brighton Christchurch,  ,Lot 2 DP 13741,,5000,"alteration to dwelling - installation of tropicair rua, freestanding, dry, woodburner, cac185998"
8539,Canterbury,Christchurch,23-Mar-20,CBCN/2020/1464,1/27 Holmwood Road,Fendalton,Christchurch,1/27 Holmwood Road Fendalton Christchurch,  ,Unit A DP 38937 on Lot 2 DP 25746 having share in 1143 m2,,6000,"alteration to dwelling - installation of a pyrclassic iv, freestanding, dry, wood burner - cac 194576"
8552,Canterbury,Christchurch,24-Mar-20,CBCN/2020/1535,449 Kainga Road,Brooklands,Christchurch,449 Kainga Road Brooklands Christchurch,  ,Lot 12 DP 10499,,6000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8559,Canterbury,Christchurch,25-Mar-20,CBCN/2020/1557,379 Pages Road,Wainoni,Christchurch,379 Pages Road Wainoni Christchurch,  ,Lot 2 DP 76837,,4000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8560,Canterbury,Christchurch,25-Mar-20,CBCN/2020/1692,31 Larch Place,Casebrook,Christchurch,31 Larch Place Casebrook Christchurch,  ,Lot 2 DP 480209,,5600,"alteration to dwelling - installation of a tropicair rua, freestanding, dry, wood burner cac 185998"
8561,Canterbury,Christchurch,25-Mar-20,CBCN/2020/1579,38 Centaurus Road,Cashmere,Christchurch,38 Centaurus Road Cashmere Christchurch,  ,Lot 1 DP 53742,,6000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8570,Canterbury,Christchurch,26-Mar-20,CBCN/2020/1703,42 Severn Street,St Albans,Christchurch,42 Severn Street St Albans Christchurch,  ,Lot 36 DP 9731,,5000,"alteration to dwelling - installation of blaze king chinook ck30.nz, freestanding, dry, wood burner cac 182697"
8585,Canterbury,Christchurch,27-Mar-20,CBCN/2020/1659,51 Wilton Crescent,Bishopdale,Christchurch,51 Wilton Crescent Bishopdale Christchurch,  ,Lot 106 DP 20471,,5000,"alteration to dwelling - installation of masport waimakariri ash, freestanding, dry,wood burner  cac-203573"
8586,Canterbury,Christchurch,27-Mar-20,CBCN/2020/1605,94 Palmers Road,New Brighton,Christchurch,94 Palmers Road New Brighton Christchurch,  ,Lot 1 DP 50403,,5000,"alteration to dwelling - masport rakaia , freestanding, dry wood burner, cac 200855"
8587,Canterbury,Christchurch,27-Mar-20,CBCN/2020/1625,312 Cranford Street,St Albans,Christchurch,312 Cranford Street St Albans Christchurch,  ,Lot 12 DP 18965,,6000,"alteration to dwelling - installation of metro ultra xtreme rad, freestanding, dry, wood burner, cac-200997"
8603,Canterbury,Christchurch,7-Apr-20,CBCN/2020/1647,18 Monarch Drive,Duvauchelle,Christchurch,18 Monarch Drive Duvauchelle Christchurch,  ,Lot 1 DP 306336,,6000,"alteration to dwelling - installation of woodsman flare, freestanding, dry, woodburner cac134775"
8604,Canterbury,Christchurch,7-Apr-20,CBCN/2020/1387,32 Radbrook Street,Avonhead,Christchurch,32 Radbrook Street Avonhead Christchurch,  ,Lot 56 DP 21507,,12000,"alterations to dwelling - addition of two external sliding doors and installation of masport waimakariri ash uleb, freestanding, dry, woodburner, cac-203573"
8607,Canterbury,Christchurch,7-Apr-20,CBCN/2020/1114,73 Warrington Street,St Albans,Christchurch,73 Warrington Street St Albans Christchurch,  ,Lot 2 DP 15330,,100000,"alteration to dwelling and detached garage - removal of internal walls, refurbishment of laundry and bathroom, addition of workshop in garage and installation of blaze king sirocco sc20p.nz uleb, freestanding, dry, woodburner, cac-185213"
8608,Canterbury,Christchurch,7-Apr-20,CBCN/2019/8752,8 Woodside Common,Westmorland,Christchurch,8 Woodside Common Westmorland Christchurch,  ,Lot 14 DP 38994,,175000,"construction of a dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8621,Canterbury,Christchurch,8-Apr-20,CBCN/2020/1871,115 Tedder Avenue,North New Brighton,Christchurch,115 Tedder Avenue North New Brighton Christchurch,  ,Pt Lot 51 DP 1154,,2800,"alteration to dwelling - installation of woodsman serene, freestanding, dry, wood burner, cac194586"
8623,Canterbury,Christchurch,8-Apr-20,CBCN/2020/1890,63 Prestons Road,Redwood,Christchurch,63 Prestons Road Redwood Christchurch,  ,Lot 25 DP 18745,,4500,"alteration to dwelling  - installation of a woodsman serene, freestanding, dry, wood burner - cac 194586"
8624,Canterbury,Christchurch,8-Apr-20,CBCN/2020/1870,15 Serama Place,Burwood,Christchurch,15 Serama Place Burwood Christchurch,  ,Lot 13 DP 431366,,6000,"alteration to dwelling - installation of woodsman serene, freestanding, wood burner, dry, cac194586"
8625,Canterbury,Christchurch,8-Apr-20,CBCN/2020/1869,15 Nehru Place,Cashmere,Christchurch,15 Nehru Place Cashmere Christchurch,  ,Lot 12 DP 45824,,6000,"alteration to dwelling - installation of a woodsman serene, freestanding, dry, wood burner - cac 194586"
8628,Canterbury,Christchurch,9-Apr-20,CBCN/2020/1646,66 Clarence Street,Addington,Christchurch,66 Clarence Street Addington Christchurch,  ,Lot 2 DP 338864,,6000,"alteration to retail shop - installation of masport rakaia, freestanding, wood burner, dry, cac 200855"
8632,Canterbury,Christchurch,9-Apr-20,CBCN/2020/1850,36 Pembroke Street,Wainoni,Christchurch,36 Pembroke Street Wainoni Christchurch,  ,Lot 23 DP 19996,,5000,"alterations to dwelling - installation of masport waimakariri, freestanding, dry, woodburner, cac203573"
8633,Canterbury,Christchurch,9-Apr-20,CBCN/2020/1505,2/61 Main Road,Redcliffs,Christchurch,2/61 Main Road Redcliffs Christchurch,  ,Flat 2 DP 73047 on Lot 1 DP 67436 having share in 673 m2,,6000,"alteration to dwelling - installation of woodsman serene, freestanding dry woodburner cac 194586"
8641,Canterbury,Christchurch,9-Apr-20,CBCN/2019/8023,1 Kairuri Lane,Heathcote,Christchurch,1 Kairuri Lane Heathcote Christchurch,  ,Lot 2 DP 523910,,550000,"construction of a dwelling with attached garage - installation of tropicair duo, freestanding, dry, woodburner, cac164316"
8642,Canterbury,Christchurch,14-Apr-20,CBCN/2020/1911,896 Governors Bay Road,Lyttelton,Christchurch,896 Governors Bay Road Lyttelton Christchurch,  ,,Lot 1 DP 25534,5000,"alteration to dwelling - installation of a masport rakaia, freestanding, dry, wood burner - cac 200855"
8659,Canterbury,Christchurch,15-Apr-20,CBCN/2020/1851,41 Wales Street,Oaklands,Christchurch,41 Wales Street Oaklands Christchurch,  ,,Lot 12 DP 20317,5000,"alteration to dwelling - installation of masport rakaia, freestanding dry, wood burner, cac200855"
8660,Canterbury,Christchurch,15-Apr-20,CBCN/2020/1858,31 Corfe Street,Upper Riccarton,Christchurch,31 Corfe Street Upper Riccarton Christchurch,  ,,Lot 66 DP 44857,5000,"alterations to dwelling - installation of woodsman serene freestanding, dry,  wood burner cac 194586"
8661,Canterbury,Christchurch,15-Apr-20,CBCN/2020/1915,218 Woodham Road,North Linwood,Christchurch,218 Woodham Road North Linwood Christchurch,  ,,Lot 2 DP 12595,6000,"alteration to dwelling - installation of pyro classic iv, freestanding, dry, wood burner, cac194576"
8676,Canterbury,Christchurch,16-Apr-20,CBCN/2020/1674,34 Bowhill Road,North New Brighton,Christchurch,34 Bowhill Road North New Brighton Christchurch,  ,,Lot 2 DP 66585,6000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8677,Canterbury,Christchurch,16-Apr-20,CBCN/2020/1876,217 Condell Avenue,Bryndwr,Christchurch,217 Condell Avenue Bryndwr Christchurch,  ,,Lot 51 DP 20402,7000,"alteration to dwelling - installation of masport waimakariri ped, freestanding, dry, woodburner, cac202414"
8685,Canterbury,Christchurch,16-Apr-20,CBCN/2020/688,2 Stronsay Lane,Hillsborough,Christchurch,2 Stronsay Lane Hillsborough Christchurch,  ,,Lot 21 DP 304078,300000,"construction of a dwelling, includes installation of pyroclassic mkiii freestanding dry wood burner cac194576"
8695,Canterbury,Christchurch,17-Apr-20,CBCN/2020/1974,8 Cornet Lane,Aranui,Christchurch,8 Cornet Lane Aranui Christchurch,  ,,Lot 33 DP 37662,100,"alteration to dwelling - installation of masport waimakariri ash, freestanding, dry, woodburner, cac203573"
8697,Canterbury,Christchurch,17-Apr-20,CBCN/2020/1986,95 Soleares Avenue,Mccormacks Bay,Christchurch,95 Soleares Avenue Mccormacks Bay Christchurch,  ,,Lot 23 DP 26704,7000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8703,Canterbury,Christchurch,17-Apr-20,CBCN/2020/325,161 St Albans Street,St Albans,Christchurch,161 St Albans Street St Albans Christchurch,  ,,Lot 13 DP 6066,492760,"construction of dwelling with attached garage and installation of a woodsman serene, freestanding, dry, woodburner - cac 194586"
8708,Canterbury,Christchurch,20-Apr-20,CBCN/2020/1585,315 Armagh Street,Central City,Christchurch,315 Armagh Street Central City Christchurch,  ,Lot 1 DP 16416,,5000,"alteration to dwelling - installation of a pyroclassic mini, freestanding, dry, wood burner - cac 193584"
8714,Canterbury,Christchurch,20-Apr-20,CBCN/2020/1324,25 Revelation Drive,Clifton,Christchurch,25 Revelation Drive Clifton Christchurch,  ,Lot 12 DP 46251,,70000,"alteration to dwelling - replace windows, wet area upgrades+ internal layout change - installation of pyroclassic  iv, freestanding, dry, woodburner - cac194576"
8719,Canterbury,Christchurch,20-Apr-20,CBCN/2020/1549,44 Petrie Street,Richmond,Christchurch,44 Petrie Street Richmond Christchurch,  ,Lot 1 DP 5613,,340000,"construction of dwelling and installation of jayline uleb ul200, freestanding, dry woodburner cac-183251"
8730,Canterbury,Christchurch,21-Apr-20,CBCN/2020/1998,14A Cardiff Avenue,Somerfield,Christchurch,14A Cardiff Avenue Somerfield Christchurch,  ,Lot 2 DP 392491,,100,"alterations to dwelling -  installation of woodsman serene, freestanding dry,  wood burner cac 194586"
8731,Canterbury,Christchurch,21-Apr-20,CBCN/2020/2059,19 Royalist Avenue,North New Brighton,Christchurch,19 Royalist Avenue North New Brighton Christchurch,  ,Lot 8 DP 27809,,3600,"alteration to dwelling - installation of masport, waimakariri, freestanding, woodburner, dry, cac 203575"
8732,Canterbury,Christchurch,21-Apr-20,CBCN/2020/1996,3 Chilton Drive,Mairehau,Christchurch,3 Chilton Drive Mairehau Christchurch,  ,Lot 1 DP 30730,,6000,"alterations to dwelling -  installation of woodsman serene, freestanding, dry,  wood burner  cac194586"
8733,Canterbury,Christchurch,21-Apr-20,CBCN/2020/1833,63 St Martins Road,St Martins,Christchurch,63 St Martins Road St Martins Christchurch,  ,Lot 6 DP 40173,,6000,"alteration to dwelling - installation of a woodsman serene, freestanding, dry, wood burner - cac 194586"
8734,Canterbury,Christchurch,21-Apr-20,CBCN/2020/2118,201 Maidstone Road,Avonhead,Christchurch,201 Maidstone Road Avonhead Christchurch,  ,Lot 25 DP 29903,,6000,"alteration to dwelling - installation of masport rakaia, freestanding, dry, woodburner, cac200855"
8749,Canterbury,Christchurch,22-Apr-20,CBCN/2020/2132,1A Chilcombe Street,Ilam,Christchurch,1A Chilcombe Street Ilam Christchurch,  ,Lot 2 DP 28934,,5000,"alteration to dwelling - installation of masport rakaia uleb, freestanding, dry, woodburner, cac-200855"
8750,Canterbury,Christchurch,22-Apr-20,CBCN/2020/2187,2/24B Prossers Road,St Martins,Christchurch,2/24B Prossers Road St Martins Christchurch,  ,Flat 2 DP 28441 on Lot 5 DP 26401 having share in 893 m2,,6000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner cac194586"
